,"
Company
","4Q17 Shipments
","4Q17 Market Share (%)
","4Q16 Shipments
","4Q16 Market Share (%)
","4Q17-4Q16 Growth (%)
"
0,"HP Inc.
","16,076
","22.5
","15,084
","20.7
","6.6
"
1,"Lenovo
","15,742
","22.0
","15,857
","21.7
","-0.7
"
2,"Dell
","10,841
","15.2
","10,767
","14.7
","0.7
"
3,"Apple
","5,449
","7.6
","5,374
","7.4
","1.4
"
4,"Asus
","4,731
","6.6
","5,336
","7.3
","-11.3
"
5,"Acer Group
","4,726
","6.6
","4,998
","6.8
","-5.4
"
6,"Others
","13,990
","19.6
","15,599
","21.4
","-10.3
"
7,"Total
","71,556
","100.0
","73,015
","100.0
","-2.0
"
8,"HP Inc.
","16,076
","22.5
","15,084
","20.7
","6.6
"
9,"Lenovo
","15,742
","22.0
","15,857
","21.7
","-0.7
"
10,"Dell
","10,841
","15.2
","10,767
","14.7
","0.7
"
11,"Apple
","5,449
","7.6
","5,374
","7.4
","1.4
"
12,"Asus
","4,731
","6.6
","5,336
","7.3
","-11.3
"
13,"Acer Group
","4,726
","6.6
","4,998
","6.8
","-5.4
"
14,"Others
","13,990
","19.6
","15,599
","21.4
","-10.3
"
15,"Total
","71,556
","100.0
","73,015
","100.0
","-2.0
"
16,"HP Inc.
","16,076
","22.5
","15,084
","20.7
","6.6
"
17,"Lenovo
","15,742
","22.0
","15,857
","21.7
","-0.7
"
18,"Dell
","10,841
","15.2
","10,767
","14.7
","0.7
"
19,"Apple
","5,449
","7.6
","5,374
","7.4
","1.4
"
20,"Asus
","4,731
","6.6
","5,336
","7.3
","-11.3
"
21,"Acer Group
","4,726
","6.6
","4,998
","6.8
","-5.4
"
22,"Others
","13,990
","19.6
","15,599
","21.4
","-10.3
"
23,"Total
","71,556
","100.0
","73,015
","100.0
","-2.0
"
24,"HP Inc.
","16,076
","22.5
","15,084
","20.7
","6.6
"
25,"Lenovo
","15,742
","22.0
","15,857
","21.7
","-0.7
"
26,"Dell
","10,841
","15.2
","10,767
","14.7
","0.7
"
27,"Apple
","5,449
","7.6
","5,374
","7.4
","1.4
"
28,"Asus
","4,731
","6.6
","5,336
","7.3
","-11.3
"
29,"Acer Group
","4,726
","6.6
","4,998
","6.8
","-5.4
"
30,"Others
","13,990
","19.6
","15,599
","21.4
","-10.3
"
31,"Total
","71,556
","100.0
","73,015
","100.0
","-2.0
"
